coupling,method,resource_fraction,team_return_mean,team_return_std,seeds,team_return_ci95
independent,"q=1, eta=0.0005",0.35000000000000003,-105.03558159861488,,1,0.0
independent,"q=1, eta=0.0005",0.4,-97.54762805116464,,1,0.0
independent,"q=1, eta=0.0005",0.45,-96.02351193592874,,1,0.0
independent,"q=1, eta=0.0005",0.5,-93.42794302750974,,1,0.0
independent,"q=1, eta=0.0005",0.55,-103.19755934770775,,1,0.0
independent,"q=1, eta=0.0005",0.6000000000000001,-94.62497117321871,,1,0.0
independent,"q=1, eta=0.0005",0.65,-94.35361859464875,,1,0.0
independent,"q=1, eta=0.0005",0.7000000000000001,-86.0052318418801,,1,0.0
independent,"q=1, eta=0.0005",0.75,-92.25399346174298,,1,0.0
independent,"q=1, eta=0.0005",0.8,-90.28458333032786,,1,0.0
independent,"q=1, eta=0.0005",0.8500000000000001,-86.71306178968467,,1,0.0
independent,"q=1, eta=0.0005",0.9,-93.79677748555935,,1,0.0
independent,"q=1, eta=0.0005",0.9500000000000001,-87.09365548217193,,1,0.0
independent,"q=1, eta=0.0005",1.0,-84.83131702680686,,1,0.0
independent,"q=16, eta=0.00025",0.0,-104.72652831690532,,1,0.0
independent,"q=16, eta=0.00025",0.05,-104.72652831690532,,1,0.0
independent,"q=16, eta=0.00025",0.1,-104.72652831690532,,1,0.0
independent,"q=16, eta=0.00025",0.15000000000000002,-97.78989099960317,,1,0.0
independent,"q=16, eta=0.00025",0.2,-90.85325368230104,,1,0.0
independent,"q=16, eta=0.00025",0.25,-87.79388084222956,,1,0.0
independent,"q=16, eta=0.00025",0.30000000000000004,-84.73450800215808,,1,0.0
independent,"q=16, eta=0.00025",0.35000000000000003,-81.53348878345953,,1,0.0
independent,"q=16, eta=0.00025",0.4,-78.33246956476098,,1,0.0
independent,"q=16, eta=0.00025",0.45,-75.59297318225035,,1,0.0
independent,"q=16, eta=0.00025",0.5,-72.85347679973972,,1,0.0
independent,"q=16, eta=0.00025",0.55,-71.09561955936702,,1,0.0
independent,"q=16, eta=0.00025",0.6000000000000001,-69.33776231899434,,1,0.0
independent,"q=16, eta=0.00025",0.65,-67.78255601317957,,1,0.0
independent,"q=16, eta=0.00025",0.7000000000000001,-66.22734970736481,,1,0.0
independent,"q=16, eta=0.00025",0.75,-65.58510077264363,,1,0.0
independent,"q=16, eta=0.00025",0.8,-64.94285183792245,,1,0.0
independent,"q=16, eta=0.00025",0.8500000000000001,-65.67686853746284,,1,0.0
independent,"q=16, eta=0.00025",0.9,-66.41088523700321,,1,0.0
independent,"q=16, eta=0.00025",0.9500000000000001,-62.635214315412064,,1,0.0
independent,"q=16, eta=0.00025",1.0,-58.85954339382092,,1,0.0
independent,"q=16, eta=0.0005",0.0,-97.76051579325674,,1,0.0
independent,"q=16, eta=0.0005",0.05,-97.76051579325674,,1,0.0
independent,"q=16, eta=0.0005",0.1,-97.76051579325674,,1,0.0
independent,"q=16, eta=0.0005",0.15000000000000002,-92.94390392016663,,1,0.0
independent,"q=16, eta=0.0005",0.2,-88.12729204707654,,1,0.0
independent,"q=16, eta=0.0005",0.25,-85.51656418545085,,1,0.0
independent,"q=16, eta=0.0005",0.30000000000000004,-82.90583632382517,,1,0.0
independent,"q=16, eta=0.0005",0.35000000000000003,-79.19179207906856,,1,0.0
independent,"q=16, eta=0.0005",0.4,-75.47774783431197,,1,0.0
independent,"q=16, eta=0.0005",0.45,-71.2804155662331,,1,0.0
independent,"q=16, eta=0.0005",0.5,-67.08308329815424,,1,0.0
independent,"q=16, eta=0.0005",0.55,-67.30908763894615,,1,0.0
independent,"q=16, eta=0.0005",0.6000000000000001,-67.53509197973807,,1,0.0
independent,"q=16, eta=0.0005",0.65,-65.86034554504865,,1,0.0
independent,"q=16, eta=0.0005",0.7000000000000001,-64.18559911035922,,1,0.0
independent,"q=16, eta=0.0005",0.75,-62.75617288482026,,1,0.0
independent,"q=16, eta=0.0005",0.8,-61.3267466592813,,1,0.0
independent,"q=16, eta=0.0005",0.8500000000000001,-62.95864040422114,,1,0.0
independent,"q=16, eta=0.0005",0.9,-64.59053414916099,,1,0.0
independent,"q=16, eta=0.0005",0.9500000000000001,-61.8012507938385,,1,0.0
independent,"q=16, eta=0.0005",1.0,-59.01196743851602,,1,0.0
independent,"q=4, eta=0.00025",0.0,-114.41113793791989,,1,0.0
independent,"q=4, eta=0.00025",0.05,-111.09478483221021,,1,0.0
independent,"q=4, eta=0.00025",0.1,-102.45606348290586,,1,0.0
independent,"q=4, eta=0.00025",0.15000000000000002,-102.83827866949244,,1,0.0
independent,"q=4, eta=0.00025",0.2,-88.15495178622224,,1,0.0
independent,"q=4, eta=0.00025",0.25,-93.12770519940463,,1,0.0
independent,"q=4, eta=0.00025",0.30000000000000004,-88.68592164074406,,1,0.0
independent,"q=4, eta=0.00025",0.35000000000000003,-84.96640276473283,,1,0.0
independent,"q=4, eta=0.00025",0.4,-75.32007465177185,,1,0.0
independent,"q=4, eta=0.00025",0.45,-78.72707226919212,,1,0.0
independent,"q=4, eta=0.00025",0.5,-72.56926352063948,,1,0.0
independent,"q=4, eta=0.00025",0.55,-73.53459405688622,,1,0.0
independent,"q=4, eta=0.00025",0.6000000000000001,-72.33202704505777,,1,0.0
independent,"q=4, eta=0.00025",0.65,-68.91256945584446,,1,0.0
independent,"q=4, eta=0.00025",0.7000000000000001,-69.37637766222446,,1,0.0
independent,"q=4, eta=0.00025",0.75,-67.65260840718656,,1,0.0
independent,"q=4, eta=0.00025",0.8,-69.5503851754884,,1,0.0
independent,"q=4, eta=0.00025",0.8500000000000001,-64.29593418852016,,1,0.0
independent,"q=4, eta=0.00025",0.9,-65.57452208087895,,1,0.0
independent,"q=4, eta=0.00025",0.9500000000000001,-65.09623705401168,,1,0.0
independent,"q=4, eta=0.00025",1.0,-65.96646399446159,,1,0.0
independent,"q=4, eta=0.0005",0.0,-132.48071858017752,,1,0.0
independent,"q=4, eta=0.0005",0.05,-123.3465721377838,,1,0.0
independent,"q=4, eta=0.0005",0.1,-96.58084810264124,,1,0.0
independent,"q=4, eta=0.0005",0.15000000000000002,-97.83160427215329,,1,0.0
independent,"q=4, eta=0.0005",0.2,-85.78551420809093,,1,0.0
independent,"q=4, eta=0.0005",0.25,-90.56018835104561,,1,0.0
independent,"q=4, eta=0.0005",0.30000000000000004,-84.4900706293497,,1,0.0
independent,"q=4, eta=0.0005",0.35000000000000003,-83.95364622720732,,1,0.0
independent,"q=4, eta=0.0005",0.4,-75.2347044964542,,1,0.0
independent,"q=4, eta=0.0005",0.45,-80.11886472699474,,1,0.0
independent,"q=4, eta=0.0005",0.5,-75.34771954327078,,1,0.0
independent,"q=4, eta=0.0005",0.55,-76.39959315592482,,1,0.0
independent,"q=4, eta=0.0005",0.6000000000000001,-70.86997118154953,,1,0.0
independent,"q=4, eta=0.0005",0.65,-68.70109168553152,,1,0.0
independent,"q=4, eta=0.0005",0.7000000000000001,-67.92192165127581,,1,0.0
independent,"q=4, eta=0.0005",0.75,-66.09321862714349,,1,0.0
independent,"q=4, eta=0.0005",0.8,-67.43638590606278,,1,0.0
independent,"q=4, eta=0.0005",0.8500000000000001,-64.47796212457891,,1,0.0
independent,"q=4, eta=0.0005",0.9,-65.48773466349687,,1,0.0
independent,"q=4, eta=0.0005",0.9500000000000001,-65.03826865065696,,1,0.0
independent,"q=4, eta=0.0005",1.0,-65.88685275557648,,1,0.0
independent,"q=8, eta=0.00025",0.0,-99.87380340678192,,1,0.0
independent,"q=8, eta=0.00025",0.05,-99.87380340678192,,1,0.0
independent,"q=8, eta=0.00025",0.1,-95.63944866321879,,1,0.0
independent,"q=8, eta=0.00025",0.15000000000000002,-93.50858883921767,,1,0.0
independent,"q=8, eta=0.00025",0.2,-90.35465557445706,,1,0.0
independent,"q=8, eta=0.00025",0.25,-82.805235395551,,1,0.0
independent,"q=8, eta=0.00025",0.30000000000000004,-76.4797226852567,,1,0.0
independent,"q=8, eta=0.00025",0.35000000000000003,-80.08031792783576,,1,0.0
independent,"q=8, eta=0.00025",0.4,-75.6898364803306,,1,0.0
independent,"q=8, eta=0.00025",0.45,-73.49126463239108,,1,0.0
independent,"q=8, eta=0.00025",0.5,-73.05091578532638,,1,0.0
independent,"q=8, eta=0.00025",0.55,-70.10673661366069,,1,0.0
independent,"q=8, eta=0.00025",0.6000000000000001,-63.396736754396684,,1,0.0
independent,"q=8, eta=0.00025",0.65,-63.52904771943992,,1,0.0
independent,"q=8, eta=0.00025",0.7000000000000001,-64.8543260017476,,1,0.0
independent,"q=8, eta=0.00025",0.75,-65.22785704965605,,1,0.0
independent,"q=8, eta=0.00025",0.8,-65.02609203283599,,1,0.0
independent,"q=8, eta=0.00025",0.8500000000000001,-65.08861158900667,,1,0.0
independent,"q=8, eta=0.00025",0.9,-64.64122888463312,,1,0.0
independent,"q=8, eta=0.00025",0.9500000000000001,-61.37321348454356,,1,0.0
independent,"q=8, eta=0.00025",1.0,-60.716692427322165,,1,0.0
independent,"q=8, eta=0.0005",0.0,-99.04335840417438,,1,0.0
independent,"q=8, eta=0.0005",0.05,-99.04335840417438,,1,0.0
independent,"q=8, eta=0.0005",0.1,-97.333354001671,,1,0.0
independent,"q=8, eta=0.0005",0.15000000000000002,-90.38580913859924,,1,0.0
independent,"q=8, eta=0.0005",0.2,-83.9946431085285,,1,0.0
independent,"q=8, eta=0.0005",0.25,-82.51423549872422,,1,0.0
independent,"q=8, eta=0.0005",0.30000000000000004,-78.07413907962753,,1,0.0
independent,"q=8, eta=0.0005",0.35000000000000003,-77.08060302094664,,1,0.0
independent,"q=8, eta=0.0005",0.4,-74.31693452133855,,1,0.0
independent,"q=8, eta=0.0005",0.45,-70.99021151702392,,1,0.0
independent,"q=8, eta=0.0005",0.5,-69.58107560261024,,1,0.0
independent,"q=8, eta=0.0005",0.55,-69.79359952086259,,1,0.0
independent,"q=8, eta=0.0005",0.6000000000000001,-64.47437910546498,,1,0.0
independent,"q=8, eta=0.0005",0.65,-63.93044432700345,,1,0.0
independent,"q=8, eta=0.0005",0.7000000000000001,-63.68603438623255,,1,0.0
independent,"q=8, eta=0.0005",0.75,-64.5522837618967,,1,0.0
independent,"q=8, eta=0.0005",0.8,-65.60459421021714,,1,0.0
independent,"q=8, eta=0.0005",0.8500000000000001,-65.54991380407031,,1,0.0
independent,"q=8, eta=0.0005",0.9,-64.10737146045389,,1,0.0
independent,"q=8, eta=0.0005",0.9500000000000001,-60.39537940430421,,1,0.0
independent,"q=8, eta=0.0005",1.0,-59.6498017639025,,1,0.0
shared,"q=1, eta=0.00025",0.0,-120.99473169122616,,1,0.0
shared,"q=1, eta=0.00025",0.05,-161.99854656150046,,1,0.0
shared,"q=1, eta=0.00025",0.1,-101.59292239590218,,1,0.0
shared,"q=1, eta=0.00025",0.15000000000000002,-100.40502674008586,,1,0.0
shared,"q=1, eta=0.00025",0.2,-106.45677181238334,,1,0.0
shared,"q=1, eta=0.00025",0.25,-98.86283475219993,,1,0.0
shared,"q=1, eta=0.00025",0.30000000000000004,-99.18228878319037,,1,0.0
shared,"q=1, eta=0.00025",0.35000000000000003,-93.60298198145405,,1,0.0
shared,"q=1, eta=0.00025",0.4,-93.16984148174852,,1,0.0
shared,"q=1, eta=0.00025",0.45,-98.299588361874,,1,0.0
shared,"q=1, eta=0.00025",0.5,-94.9148412694351,,1,0.0
shared,"q=1, eta=0.00025",0.55,-94.45050456929891,,1,0.0
shared,"q=1, eta=0.00025",0.6000000000000001,-87.87557248009861,,1,0.0
shared,"q=1, eta=0.00025",0.65,-91.57286648382888,,1,0.0
shared,"q=1, eta=0.00025",0.7000000000000001,-90.1602915796833,,1,0.0
shared,"q=1, eta=0.00025",0.75,-96.31793537589847,,1,0.0
shared,"q=1, eta=0.00025",0.8,-93.6557665305644,,1,0.0
shared,"q=1, eta=0.00025",0.8500000000000001,-91.71084255962715,,1,0.0
shared,"q=1, eta=0.00025",0.9,-89.45757939420692,,1,0.0
shared,"q=1, eta=0.00025",0.9500000000000001,-88.14125285762344,,1,0.0
shared,"q=1, eta=0.00025",1.0,-88.4525063833363,,1,0.0
shared,"q=1, eta=0.0005",0.0,-146.38037002178018,,1,0.0
shared,"q=1, eta=0.0005",0.05,-110.67930181144891,,1,0.0
shared,"q=1, eta=0.0005",0.1,-97.38150576823183,,1,0.0
shared,"q=1, eta=0.0005",0.15000000000000002,-101.5127199815794,,1,0.0
shared,"q=1, eta=0.0005",0.2,-97.21902688109434,,1,0.0
shared,"q=1, eta=0.0005",0.25,-93.84497881199768,,1,0.0
shared,"q=1, eta=0.0005",0.30000000000000004,-95.25219249046778,,1,0.0
shared,"q=1, eta=0.0005",0.35000000000000003,-127.7453536067837,,1,0.0
shared,"q=1, eta=0.0005",0.4,-88.92491092243613,,1,0.0
shared,"q=1, eta=0.0005",0.45,-94.89493388863734,,1,0.0
shared,"q=1, eta=0.0005",0.5,-92.10958780053018,,1,0.0
shared,"q=1, eta=0.0005",0.55,-94.24553935568467,,1,0.0
shared,"q=1, eta=0.0005",0.6000000000000001,-86.60198037303667,,1,0.0
shared,"q=1, eta=0.0005",0.65,-83.06232731664386,,1,0.0
shared,"q=1, eta=0.0005",0.7000000000000001,-84.34355068898486,,1,0.0
shared,"q=1, eta=0.0005",0.75,-88.89339107559628,,1,0.0
shared,"q=1, eta=0.0005",0.8,-83.37416747862572,,1,0.0
shared,"q=1, eta=0.0005",0.8500000000000001,-81.55979810290331,,1,0.0
shared,"q=1, eta=0.0005",0.9,-87.75994790521538,,1,0.0
shared,"q=1, eta=0.0005",0.9500000000000001,-91.60574607420168,,1,0.0
shared,"q=1, eta=0.0005",1.0,-82.52323476343552,,1,0.0
shared,"q=16, eta=0.00025",0.0,-120.99473169122616,,1,0.0
shared,"q=16, eta=0.00025",0.05,-120.99473169122616,,1,0.0
shared,"q=16, eta=0.00025",0.1,-120.99473169122616,,1,0.0
shared,"q=16, eta=0.00025",0.15000000000000002,-141.49663912636333,,1,0.0
shared,"q=16, eta=0.00025",0.2,-161.99854656150046,,1,0.0
shared,"q=16, eta=0.00025",0.25,-133.1921181032711,,1,0.0
shared,"q=16, eta=0.00025",0.30000000000000004,-104.38568964504174,,1,0.0
shared,"q=16, eta=0.00025",0.35000000000000003,-103.56620193277787,,1,0.0
shared,"q=16, eta=0.00025",0.4,-102.74671422051402,,1,0.0
shared,"q=16, eta=0.00025",0.45,-100.86848135476274,,1,0.0
shared,"q=16, eta=0.00025",0.5,-98.99024848901144,,1,0.0
shared,"q=16, eta=0.00025",0.55,-102.43188734038642,,1,0.0
shared,"q=16, eta=0.00025",0.6000000000000001,-105.87352619176139,,1,0.0
shared,"q=16, eta=0.00025",0.65,-102.63063225400552,,1,0.0
shared,"q=16, eta=0.00025",0.7000000000000001,-99.38773831624964,,1,0.0
shared,"q=16, eta=0.00025",0.75,-98.39113538625026,,1,0.0
shared,"q=16, eta=0.00025",0.8,-97.39453245625089,,1,0.0
shared,"q=16, eta=0.00025",0.8500000000000001,-97.10067074020026,,1,0.0
shared,"q=16, eta=0.00025",0.9,-96.80680902414964,,1,0.0
shared,"q=16, eta=0.00025",0.9500000000000001,-96.19725568610225,,1,0.0
shared,"q=16, eta=0.00025",1.0,-95.58770234805486,,1,0.0
shared,"q=16, eta=0.0005",0.0,-146.38037002178018,,1,0.0
shared,"q=16, eta=0.0005",0.05,-146.38037002178018,,1,0.0
shared,"q=16, eta=0.0005",0.1,-146.38037002178018,,1,0.0
shared,"q=16, eta=0.0005",0.15000000000000002,-127.02054985315137,,1,0.0
shared,"q=16, eta=0.0005",0.2,-107.66072968452256,,1,0.0
shared,"q=16, eta=0.0005",0.25,-104.5758223750682,,1,0.0
shared,"q=16, eta=0.0005",0.30000000000000004,-101.49091506561383,,1,0.0
shared,"q=16, eta=0.0005",0.35000000000000003,-105.46641787533575,,1,0.0
shared,"q=16, eta=0.0005",0.4,-109.44192068505767,,1,0.0
shared,"q=16, eta=0.0005",0.45,-105.76585108932494,,1,0.0
shared,"q=16, eta=0.0005",0.5,-102.08978149359223,,1,0.0
shared,"q=16, eta=0.0005",0.55,-99.38568605756446,,1,0.0
shared,"q=16, eta=0.0005",0.6000000000000001,-96.6815906215367,,1,0.0
shared,"q=16, eta=0.0005",0.65,-96.06168279798841,,1,0.0
shared,"q=16, eta=0.0005",0.7000000000000001,-95.44177497444014,,1,0.0
shared,"q=16, eta=0.0005",0.75,-98.22095504153188,,1,0.0
shared,"q=16, eta=0.0005",0.8,-101.00013510862361,,1,0.0
shared,"q=16, eta=0.0005",0.8500000000000001,-99.28842837155689,,1,0.0
shared,"q=16, eta=0.0005",0.9,-97.57672163449017,,1,0.0
shared,"q=16, eta=0.0005",0.9500000000000001,-96.81467124542532,,1,0.0
shared,"q=16, eta=0.0005",1.0,-96.05262085636048,,1,0.0
shared,"q=4, eta=0.00025",0.0,-120.99473169122616,,1,0.0
shared,"q=4, eta=0.00025",0.05,-122.18428048886727,,1,0.0
shared,"q=4, eta=0.00025",0.1,-118.24879396937922,,1,0.0
shared,"q=4, eta=0.00025",0.15000000000000002,-102.94915580098173,,1,0.0
shared,"q=4, eta=0.00025",0.2,-100.92985538995873,,1,0.0
shared,"q=4, eta=0.00025",0.25,-102.34795153215426,,1,0.0
shared,"q=4, eta=0.00025",0.30000000000000004,-102.55661147860485,,1,0.0
shared,"q=4, eta=0.00025",0.35000000000000003,-101.92932257709899,,1,0.0
shared,"q=4, eta=0.00025",0.4,-94.9684069425263,,1,0.0
shared,"q=4, eta=0.00025",0.45,-92.34899009387476,,1,0.0
shared,"q=4, eta=0.00025",0.5,-96.96089980403258,,1,0.0
shared,"q=4, eta=0.00025",0.55,-103.96355233291467,,1,0.0
shared,"q=4, eta=0.00025",0.6000000000000001,-97.04054754042475,,1,0.0
shared,"q=4, eta=0.00025",0.65,-90.68712474575999,,1,0.0
shared,"q=4, eta=0.00025",0.7000000000000001,-92.66960331720861,,1,0.0
shared,"q=4, eta=0.00025",0.75,-90.91518337525315,,1,0.0
shared,"q=4, eta=0.00025",0.8,-103.97179259563818,,1,0.0
shared,"q=4, eta=0.00025",0.8500000000000001,-94.39800716281782,,1,0.0
shared,"q=4, eta=0.00025",0.9,-91.16788881262855,,1,0.0
shared,"q=4, eta=0.00025",0.9500000000000001,-90.27672763957283,,1,0.0
shared,"q=4, eta=0.00025",1.0,-87.6080260264098,,1,0.0
shared,"q=4, eta=0.0005",0.0,-146.38037002178018,,1,0.0
shared,"q=4, eta=0.0005",0.05,-139.75487196620216,,1,0.0
shared,"q=4, eta=0.0005",0.1,-113.93179247445052,,1,0.0
shared,"q=4, eta=0.0005",0.15000000000000002,-104.24561839541727,,1,0.0
shared,"q=4, eta=0.0005",0.2,-116.7445066462401,,1,0.0
shared,"q=4, eta=0.0005",0.25,-97.901036503561,,1,0.0
shared,"q=4, eta=0.0005",0.30000000000000004,-98.49301265781071,,1,0.0
shared,"q=4, eta=0.0005",0.35000000000000003,-97.16148636782906,,1,0.0
shared,"q=4, eta=0.0005",0.4,-94.64596979061086,,1,0.0
shared,"q=4, eta=0.0005",0.45,-97.67276466672115,,1,0.0
shared,"q=4, eta=0.0005",0.5,-96.09443605336696,,1,0.0
shared,"q=4, eta=0.0005",0.55,-97.15488490800259,,1,0.0
shared,"q=4, eta=0.0005",0.6000000000000001,-97.58128173640124,,1,0.0
shared,"q=4, eta=0.0005",0.65,-89.6103977460676,,1,0.0
shared,"q=4, eta=0.0005",0.7000000000000001,-90.59369221500825,,1,0.0
shared,"q=4, eta=0.0005",0.75,-87.25255927327719,,1,0.0
shared,"q=4, eta=0.0005",0.8,-91.43723166737122,,1,0.0
shared,"q=4, eta=0.0005",0.8500000000000001,-94.8315523594677,,1,0.0
shared,"q=4, eta=0.0005",0.9,-85.7928955472677,,1,0.0
shared,"q=4, eta=0.0005",0.9500000000000001,-86.2045890704904,,1,0.0
shared,"q=4, eta=0.0005",1.0,-89.6328248713753,,1,0.0
shared,"q=8, eta=0.00025",0.0,-120.99473169122616,,1,0.0
shared,"q=8, eta=0.00025",0.05,-120.99473169122616,,1,0.0
shared,"q=8, eta=0.00025",0.1,-114.01944980874721,,1,0.0
shared,"q=8, eta=0.00025",0.15000000000000002,-116.73739382320818,,1,0.0
shared,"q=8, eta=0.00025",0.2,-116.44318074633907,,1,0.0
shared,"q=8, eta=0.00025",0.25,-102.27540173452181,,1,0.0
shared,"q=8, eta=0.00025",0.30000000000000004,-96.50327657995736,,1,0.0
shared,"q=8, eta=0.00025",0.35000000000000003,-106.15664483210352,,1,0.0
shared,"q=8, eta=0.00025",0.4,-101.4072778807657,,1,0.0
shared,"q=8, eta=0.00025",0.45,-96.45553162664854,,1,0.0
shared,"q=8, eta=0.00025",0.5,-95.11974082694489,,1,0.0
shared,"q=8, eta=0.00025",0.55,-96.32278802253165,,1,0.0
shared,"q=8, eta=0.00025",0.6000000000000001,-99.62015392251313,,1,0.0
shared,"q=8, eta=0.00025",0.65,-97.55625502154358,,1,0.0
shared,"q=8, eta=0.00025",0.7000000000000001,-100.74811324027347,,1,0.0
shared,"q=8, eta=0.00025",0.75,-101.15266597710543,,1,0.0
shared,"q=8, eta=0.00025",0.8,-98.43979158320963,,1,0.0
shared,"q=8, eta=0.00025",0.8500000000000001,-96.07671610489076,,1,0.0
shared,"q=8, eta=0.00025",0.9,-97.37421731372761,,1,0.0
shared,"q=8, eta=0.00025",0.9500000000000001,-97.59927940760525,,1,0.0
shared,"q=8, eta=0.00025",1.0,-97.6443095388028,,1,0.0
shared,"q=8, eta=0.0005",0.0,-146.38037002178018,,1,0.0
shared,"q=8, eta=0.0005",0.05,-146.38037002178018,,1,0.0
shared,"q=8, eta=0.0005",0.1,-124.86551797748464,,1,0.0
shared,"q=8, eta=0.0005",0.15000000000000002,-114.06461421989165,,1,0.0
shared,"q=8, eta=0.0005",0.2,-109.9449524032932,,1,0.0
shared,"q=8, eta=0.0005",0.25,-102.84204207395553,,1,0.0
shared,"q=8, eta=0.0005",0.30000000000000004,-108.15102871015198,,1,0.0
shared,"q=8, eta=0.0005",0.35000000000000003,-102.2743812697491,,1,0.0
shared,"q=8, eta=0.0005",0.4,-94.40974378078869,,1,0.0
shared,"q=8, eta=0.0005",0.45,-95.77716902921551,,1,0.0
shared,"q=8, eta=0.0005",0.5,-100.36496451626766,,1,0.0
shared,"q=8, eta=0.0005",0.55,-98.16332302118143,,1,0.0
shared,"q=8, eta=0.0005",0.6000000000000001,-88.46459807405184,,1,0.0
shared,"q=8, eta=0.0005",0.65,-88.84065786896633,,1,0.0
shared,"q=8, eta=0.0005",0.7000000000000001,-91.39757988727314,,1,0.0
shared,"q=8, eta=0.0005",0.75,-90.86118651459174,,1,0.0
shared,"q=8, eta=0.0005",0.8,-97.10151836921088,,1,0.0
shared,"q=8, eta=0.0005",0.8500000000000001,-110.54057069339689,,1,0.0
shared,"q=8, eta=0.0005",0.9,-97.266722369947,,1,0.0
shared,"q=8, eta=0.0005",0.9500000000000001,-93.38420476749079,,1,0.0
shared,"q=8, eta=0.0005",1.0,-92.60607793158574,,1,0.0
